,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
50,The Wolf of Debt,1915,N/A,01 Oct 1915,N/A,Drama,Jack Harvey,Hugh C. Weir,"Violet Mersereau, William Garwood, Fanny Hayes","Mrs. Stanhope, a widow in embarrassing circumstances, urges her daughter, Helen, to marry Anthony Stuart, a wealthy broker, but she refuses. Helen, the following day, meets Bruce Marsden, a millionaire, at the golf links, and at o...","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0006300,movie,N/A,N/A,N/A,N/A,True,,
51,Fatherhood,2021,PG-13,18 Jun 2021,109 min,"Comedy, Drama",Paul Weitz,"Dana Stevens, Paul Weitz, Matt Logelin","Kevin Hart, Alfre Woodard, Lil Rel Howery",A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzU5YWYzZGMtNTE2My00NDE0LTgxNWYtZDYzYjI2YzM3OWJlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.6,"40,637",tt4733624,movie,18 Jun 2021,N/A,N/A,N/A,True,,
52,The Woman Who Lied,1915,N/A,06 Oct 1915,N/A,"Drama, Short",Lucius Henderson,Olga Printzlau,"Mary Fuller, William Heidloff, Edna Hunter","The curtain falls as Cleo finishes her remarkable portrayal of a woman dying after having taken poison, and she is enthusiastically applauded. Gordon, the debonair lover of Cleo, leaves his box and goes to her dressing room. He is...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTMxNzk2YzgtYzlhMC00N2YzLTkxZjEtNTkwZTVkNjViMTM1XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006305,movie,N/A,N/A,N/A,N/A,True,,
53,The Man of Shame,1915,N/A,11 Oct 1915,50 min,"Drama, History",Harry Myers,"Maie B. Havey, Jules Mary","Wilton Lackaye, Harry Myers, Rosemary Theby",Roger and Luvesan have a quarrel over cards and arrange to fight a duel at dawn. In the duel Luvesan loses two fingers. Having been made an outcast by his brother officers he hates Roger for it and vows vengeance on him. Roger ret...,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BY2JjZDRmNjctOGE5Ny00OGVhLThjMDUtZjRkZGRkZWM5OGVlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005708,movie,N/A,N/A,N/A,N/A,True,,
54,The Campbells are Coming,1915,N/A,18 Oct 1915,40 min,"Short, Drama, History",Francis Ford,"Grace Cunard, Emerson Hough","Francis Ford, Grace Cunard, Ervin Denecke","On ascending the throne, after father's death, Nana Sahib is informed that the pension given his father during his rule by Queen Victoria of England is stopped, and he sends his agent, Azimoah, to see Queen Victoria and intercede ...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYTA5NWYwMDAtZTlhMy00MmQ0LThmMWMtMGIwNjNkYmFiNWNjXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,17,tt0005050,movie,N/A,N/A,N/A,N/A,True,,
55,The College Orphan,1915,N/A,25 Oct 1915,60 min,"Comedy, Drama",William C. Dowlan,L.V. Jefferson,"Carter DeHaven, Flora Parker DeHaven, Miss Edwards",Jack Bennett has been leading a gay life. Below his father has just received a bill from one of the café proprietors for damage committed by his son and others of a party the night before. He summons the young man and proceeds to ...,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTM2ZGFkNzktODUwMC00MTIwLWJhMDEtNjQ2YWUxZGZlNzgzXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005105,movie,N/A,N/A,N/A,N/A,True,,
56,The Long Chance,1915,N/A,01 Nov 1915,60 min,Western,Edward LeSaint,"Harvey Gates, Peter B. Kyne","Frank Keenan, Beryle Broughton, Stella Razeto","Harley P. Hennage, at the opening of the story, is a gambler about 35 years of age, who spends much of his time at the Red Dog Retreat at Gila Junction. Marie, the town belle, respects Harley as the best friend she has. Harley, on...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNTJkYjI4MWYtNTliOC00NDI2LWJhMDItMWIwN2I1ZTVkZmUxXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005648,movie,N/A,N/A,N/A,N/A,True,,
57,The Frame-Up,1937,Approved,02 May 1937,59 min,"Crime, Drama, Music",D. Ross Lederman,"Richard Wormser, Harold Shumate","Paul Kelly, Julie Bishop, George McKay","Ellery Richards, racing magnate, informs Mark MacArthur, head of the State Racing Commission detectives, that a ring of bookmakers and gangsters are in town betting heavily on the Richards' entry, Red Roger, and getting tremendous...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTYyNzg4NDItNWIxMi00OTNjLThmMzMtMmIwMjA2NGM5OWEzXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,23,tt0028895,movie,N/A,N/A,N/A,N/A,True,,
58,Colorado,1940,Passed,15 Sep 1940,57 min,"Drama, Music, Western",Joseph Kane,"Louis Stevens, Harrison Jacobs","Roy Rogers, George 'Gabby' Hayes, Pauline Moore",Trouble in Colorado is tying up Union troops needed back east during the Civil War and Lieut. Burke is sent to investigate. Macklin and his gang are causing the problems and Capt. Mason joins them. When Burke catches up with them ...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDFkYjFmOGMtMTc1Ni00NTA4LWExMDItNzNkMDVmMjQ2NjQ2XkEyXkFqcGdeQXVyNjgzNDU2ODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,282,tt0032346,movie,24 Apr 2007,N/A,N/A,N/A,True,,
59,My Old Dutch,1934,N/A,01 Oct 1934,82 min,Drama,Sinclair Hill,"Leslie Arliss, Marjorie Gaffney, Michael Hogan","Betty Balfour, Gordon Harker, Michael Hogan",N/A,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BY2RiZTc3ODUtZjFhZi00ZjFmLWEwNjEtNzQwYjdiOWY1OTU5XkEyXkFqcGdeQXVyNjgyNTk4NTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,22,tt0025539,movie,N/A,N/A,N/A,N/A,True,,
60,The Supreme Test,1923,N/A,01 Dec 1923,N/A,N/A,W.P. MacNamara,W.P. MacNamara,"John Harron, Gloria Grey, Minna Redman, Eugene Beaudino",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0014520,movie,N/A,N/A,N/A,N/A,True,,
61,Tainted Money,1915,N/A,N/A,50 min,Drama,Ulysses Davis,"George Edwardes-Hall, F. McGrew Willis","Hobart Bosworth, Jane Novak, Edward Clark",N/A,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNDkzMjkyNDQtNjkyNS00YTI2LTgyMzktOTAwNmY2NDNjYjk2XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006133,movie,N/A,N/A,N/A,N/A,True,,
62,The White Scar,1915,N/A,06 Dec 1915,50 min,Adventure,"Hobart Bosworth, Ulysses Davis",Hobart Bosworth,"Hobart Bosworth, Anna Lehr, Norval MacGregor","Hudson Bay fur trapper Na-Ta-Wan-Gan, falls in love with Janet Mackintosh, the daughter of the factor at the trading post who has been promised to the deceitful Henri Drouet. After stealing skins from Mr. Mackintosh with the help ...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOWY3OWZmYzMtYTNmNy00Yjk5LThhMzItODcwN2E1MTcxODYyXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.0/10'}]",N/A,2.0,22,tt0006280,movie,N/A,N/A,N/A,N/A,True,,
63,Graft,1931,N/A,21 Sep 1931,54 min,"Crime, Thriller",Christy Cabanne,Barry Barringer,"Regis Toomey, Sue Carol, Dorothy Revier",Cub reporter Dusty investigates the murder of the District Attorney and stumbles into a plot involving a kidnapping and a crooked election.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM4NzE3MjE0NV5BMl5BanBnXkFtZTYwMzk5MTg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,95,tt0021926,movie,N/A,N/A,N/A,N/A,True,,
64,The Primrose Path,1925,N/A,15 Sep 1925,60 min,Drama,Harry O. Hoyt,Leah Baird,"Wallace MacDonald, Clara Bow, Arline Pretty","Bruce Armstrong (MacDonald) is quite wealthy. He is also a drinker, a gambler, and pretty much worthless as a human being. For some reason, Marilyn Merrill (Bow), a successful dancer, sticks by him. In spite of this, he gambles with ",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWIzZjFlYzctMmRiYi00OWQ3LThjZGUtMDhmMjNjMzQ4ZTU5XkEyXkFqcGdeQXVyNzk0Mzc0OTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,71,tt0016245,movie,N/A,N/A,N/A,N/A,True,,
65,Lord John in New York,1915,N/A,14 Dec 1915,N/A,Mystery,Edward LeSaint,"Harvey Gates, A.M. Williamson, C.N. Williamson","William Garwood, Stella Razeto, Ogden Crane","Lord John, brother of the Marquis of Haslemere, receives word from his friend, Carr Price, in New York, that the latter's dramatization of the detective story written by Lord John will not be purchased at all. This decision was br...","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0005649,movie,N/A,N/A,N/A,N/A,True,,
66,Father and the Boys,1915,N/A,20 Dec 1915,50 min,"Comedy, Drama",Joseph De Grasse,"George Ade, Ida May Park","Digby Bell, Louise Lovely, Harry Ham","Lemuel Morewood is a wealthy businessman to whom riches bring no pleasure because he has entirely lost the sympathy of his sons, for whom he lives. Billy is society mad and completely enthralled by Mrs. Bruce Guilford, a leader of...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOTU3MmIzZmUtYjZiMy00ODdhLTkyZWYtZWQ0NDhiZGI2ZGM1XkEyXkFqcGdeQXVyNzk3ODM4NQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005307,movie,N/A,N/A,N/A,N/A,True,,
67,Christmas Memories,1915,Not Rated,21 Dec 1915,62 min,Drama,Robert Z. Leonard,Robert Z. Leonard,"Robert Z. Leonard, Ella Hall, Marc B. Robbins","After the death of her mother, Little Sunshine, a child of the mountains, is left a penniless orphan. The Rev. Baker, who has been a friend of the girl and her mother, assumes a sort of friendly guardianship over her. Beppo, an Itali","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTc0MTQxODM5MV5BMl5BanBnXkFtZTgwMDAzOTk1MDE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0207384,movie,N/A,N/A,N/A,N/A,True,,
68,Secret Love,2013,N/A,25 Sep 2013,N/A,"Drama, Romance",N/A,N/A,"Hwang Jeong-eum, Seong Ji, Soo-bin Bae","A devoted woman makes the ultimate sacrifice for her boyfriend, only to learn that love doesn't always conquer all. Yoo Jeong (Hwang Jeong Eum) is a sweet, upbeat person who has always stuck by her boyfriend, Ahn Do Hoon (Bae Soo ...",Korean,South Korea,6 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BOWZkODI5MmYtYWM1NC00ODhmLTkzMWYtNmY2ODhmMjBiZWM2XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"1,286",tt3215892,series,,,,,True,,1
69,Langdon's Legacy,1916,N/A,03 Jan 1916,50 min,Drama,Otis Turner,Meredith M. Nicholson,"J. Warren Kerrigan, Bertram Grassby, Lois Wilson","Jack Langdon is sent by a San Francisco company to manage its Santa Clara mine in Peru. Gov. Juan Maria Barada, who disputes the American claim to the mine, means to gain possession of it through intimidation. Barada has his henchman","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOGQ1YTRiMzAtZWU4Zi00YTJjLTk2ZjgtODA3YjM5OWFkMWQxXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005603,movie,N/A,N/A,N/A,N/A,True,,
70,Love's Pilgrimage to America,1916,N/A,10 Jan 1916,50 min,"Comedy, Drama",Lawrence Marston,"Maie B. Havey, Leslie T. Peacocke","Lulu Glaser, Thomas Keeswald, Sarah Brundage","Lulu is the daughter of an English bishop and she loves and is loved by Tom, nephew of the Duke of Bilgewater. Lulu and Tom finally decide to tell their folks that they have become engaged. They expect a little opposition, for their ","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY4MDg1MjMtZTUzYy00ZTY5LWJlZDYtYWUwZTUxMDZmZGY4XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005658,movie,N/A,N/A,N/A,N/A,True,,
71,The Man Inside,2012,N/A,27 Jul 2012,99 min,"Crime, Drama, Thriller",Dan Turner,Dan Turner,"Peter Mullan, Michelle Ryan, David Harewood",A thriller centered on a young boxer trying to distance himself from his father's gangster past and the relationship with his trainer.,English,United Kingdom,1 win,https://m.media-amazon.com/images/M/MV5BMDYwZDExOWEtNDcxOS00MDQ5LTlkNWMtNTZjZGVmNmI4YmZlXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}]",N/A,5.8,"1,358",tt1989674,movie,29 Oct 2013,N/A,N/A,N/A,True,,
72,A Soul Enslaved,1916,N/A,24 Jan 1916,50 min,Drama,Cleo Madison,"Adele Farrington, Olga Printzlau","Cleo Madison, Tom Chatterton, Douglas Gerrard","Tired of poverty, Jane finally accepts the advances of Ambrose, the wealthy owner of the factory in which she works, and becomes his mistress. Years later, long after she has left Ambrose, Jane falls in love with Richard Newton, whos","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNDk0ZWQ3NDYtMGU4YS00MGZiLTllZDItMGVlYmU3NDI2MTU1XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0007376,movie,N/A,N/A,N/A,N/A,True,,
73,The Path of Happiness,1916,N/A,31 Jan 1916,50 min,Drama,Elaine S. Carrington,Elaine S. Carrington,"Violet Mersereau, Harry Benham, Sidney Bracey","Joan, a child of Nature, resides with her father and Grekko in the woods of northern New York. Grekko has been living with Joan and her father ever since they rescued him years ago from a bear trap in which he was caught; he is cr...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNzQyMzYzM2YtYWFjMy00YzQzLWJhMWMtMDQ4MmI3ODgzZjI0XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0007159,movie,N/A,N/A,N/A,N/A,True,,
74,A Knight of the Range,1916,N/A,07 Feb 1916,50 min,Western,Jacques Jaccard,Harry Carey,"Harry Carey, Olive Carey, Hoot Gibson","Unaware of the weakness of Bob Graham's character, Bess Dawson decides to marry him instead of the other cowboy who loves her, Cheyenne Harry. Before the wedding, however, some crooks induce Bob to take part in a hold-up. Then whe...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMmQ3MjU1ODUtOTY2ZS00YjYzLWE0OGMtZjExNTE4NWRkMzlhXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006901,movie,N/A,N/A,N/A,N/A,True,,
75,Undine,2020,Unrated,04 Jun 2021,91 min,"Drama, Fantasy, Mystery",Christian Petzold,Christian Petzold,"Paula Beer, Franz Rogowski, Maryam Zaree","Undine works as a historian lecturing on Berlin's urban development. But when the man she loves leaves her, the ancient myth catches up with her. Undine has to kill the man who betrays her and return to the water.","German, English, Spanish","Germany, France",10 wins & 27 nominations,https://m.media-amazon.com/images/M/MV5BNzNmNmJiNzgtZWViYy00MDk0LWFiNzEtMTA1MWY5NTI4N2M3XkEyXkFqcGdeQXVyNjgzMjY4MDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.6,"7,425",tt11617052,movie,04 Jun 2021,"$78,689",N/A,N/A,True,,
76,"Hop, the Devil's Brew",1916,N/A,14 Feb 1916,50 min,Drama,"Phillips Smalley, Lois Weber",Lois Weber,"Phillips Smalley, Lois Weber, Marie Walcamp","Lydia Jansen is a faithful and loving wife, though unknown to her husband, a customs inspector, she has become addicted to smoking opium. In the parlance of the underworld this devil's brew is called ""hop."" Her own father, a politici","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNWRiM2FjNGYtN2Q5ZC00OTg3LWE5ZTYtM2FlY2NiOTVhM2Q5XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006827,movie,N/A,N/A,N/A,N/A,True,,
77,The Sphinx,1933,Passed,01 Jun 1933,64 min,"Adventure, Crime, Mystery",Phil Rosen,Albert DeMond,"Lionel Atwill, Sheila Terry, Theodore Newton","A man known to be a mute is suspected of committing a murder, as he was noticed at the scene. However, witnesses saw and heard him talking as he was leaving the scene of the crime. The police must determine if he is the actual kil...","English, American Sign ",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjMwZjJjM2UtYmZmMy00ODI1LWE0MzEtYTNmMTE2ZmM3YmZjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,470,tt0024605,movie,18 Mar 2003,N/A,N/A,N/A,True,,
78,The Wrong Door,2008,N/A,28 Aug 2008,30 min,"Comedy, Fantasy",N/A,N/A,"David Reed, Neil Fox, Simon Greenall","Comedy sketch show set in a surreal parallel universe where film and TV special effects are part of everyday life. In this world, superheroes, wizards and dinosaurs are commonplace in the daily merry-go-round of car chases, explos...",English,United Kingdom,Nominated for 1 BAFTA Award2 nominations total,https://m.media-amazon.com/images/M/MV5BNzBlZTVjYWQtOTNlNS00NGU4LTg5ZTQtMzEyMGZmZmQ1OTEwXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,272,tt1246719,series,,,,,True,,1
79,The Pipe Dream,2006,N/A,31 Mar 2007,59 min,"Documentary, Sport",Liam Walsh,N/A,"Crispin Lipscomb, Dan Raymond","""The Pipe Dream"" follows the rapid climb to success of Whistler half pipe snowboarders, Crispin Lipscomb and Dan Raymond. The filmmaker follows their journeys from hard working snowboard ...",English,Canada,N/A,N/A,[],N/A,N/A,N/A,tt0903007,movie,N/A,N/A,N/A,N/A,True,,
80,Her Greatest Story,1916,N/A,27 Feb 1916,N/A,"Short, Drama",Lynn Reynolds,Lynn Reynolds,"Myrtle Gonzalez, Fred Church, Val Paul, Alfred Allen",N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0326931,movie,N/A,N/A,N/A,N/A,True,,
81,The Grip of Jealousy,1916,N/A,28 Feb 1916,50 min,Drama,Joseph De Grasse,Ida May Park,"Louise Lovely, Lon Chaney, Grace Thompson","In pre-Civil War days, a woman dies in childbirth. Her sister, believing the child to be illegitimate, leaves the baby in care of one of her sister's slaves.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYjExZmI5ZTEtZDYzMi00NGUwLTlkYTItMTFiMjQ3NGZmYWQ5XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006747,movie,N/A,N/A,N/A,N/A,True,,
82,The Lords of High Decision,1916,N/A,28 Feb 1916,50 min,Drama,Jack Harvey,"William H. Lippert, Meredith M. Nicholson","Cyril Scott, Joseph W. Girard, William Welsh","Colonel Roger Craighill, a Pittsburgh millionaire, is seen presiding at a meeting in the directors' room of the Hercules Bank. He tells them that he intends to crush Gregory, an independent coal operator. He decides to use his accomp","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYWNiOWE3YTktMTFiNS00NWFiLWE0N2YtNjU4NmUxODI3MDQ3XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006941,movie,N/A,N/A,N/A,N/A,True,,
83,The Target,2014,R,06 Oct 2015,98 min,"Action, Thriller",Hong-Seung Yoon,"Cheol-Hong Jeon, Seong-Geol Jo, Su-jeong Kim","Seung-ryong Ryu, Joon-Sang Yoo, Lee Jin-Wook","An ER doctor teams up with an assassination target to rescue his wife, held hostage by corrupt criminals and, in the process, uncovers a conspiracy.",Korean,South Korea,1 nomination,https://m.media-amazon.com/images/M/MV5BODU3NDkxOTYxMV5BMl5BanBnXkFtZTgwMDQxMzA0NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"1,992",tt3634940,movie,06 Oct 2015,N/A,N/A,N/A,True,,
84,The Strength of the Weak,1913,N/A,13 Jun 1913,N/A,"Short, Drama",N/A,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1435600,movie,N/A,N/A,N/A,N/A,True,,
85,The Pool of Flame,1916,N/A,13 Mar 1916,50 min,Adventure,Otis Turner,"Louis Joseph Vance, F. McGrew Willis","J. Warren Kerrigan, Lois Wilson, Harry Carter","Terence O'Rourke an adventurer, has been courting Princess Beatrix long enough to ask her to marry him, but he realizes that, with no steady income, he has no right to propose. Then, the Pool of Flame, a huge ruby that adorns a st...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTc2NjI3NDg5MF5BMl5BanBnXkFtZTgwNjA0NjI1NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,18,tt0007201,movie,N/A,N/A,N/A,N/A,True,,
